,,,,
,,,,
Technical Parameter,Unit,Technical Indicator,,
,,Minimum Value,Typical Value,Maximum Value
Center Wavelength,nm,1550,,
Optical Mode,/,"Single-mode, Continuous Wave",,
Output Power,mW,50,,
Linewidth,Hz,<25,,
Optical Signal-to-Noise Ratio (OSNR),dB,$\ge 55$,,
Frequency Noise,Hz^2 / Hz @ 1 Hz,10000,,
,Hz^2/Hz @ 10 Hz,1002,,
,Hz^2/Hz @ 100 Hz,103,,
,Hz^2/Hz @ 1 kHz,10,,
Output Power Stability (P-P),%,$\le 0.5$,,
Output Power Adjustment,%,10-100,,
Wavelength Tuning Range,nm,200pm,,
Polarization Type,/,Linearly Polarized,,
Polarization Extinction Ratio (PER),dB,> 23 Polarization Maintaining,,
Beam Quality,/,M^2 < 1.1,,
Output Fiber Type,/,PM 1550,,
Output Fiber Connector,/,"FC/APC , Others Optional",,
